,"cutree(clus, k = 10)",,,,,,
Justin Anderson,1,,,,,,
Kevin Huerter,2,,,,,2,Perimeter oriented offensive talents
Omari Spellman,1,,,,,,
Isaac Humphries,3,,,,,,
Jaylen Adams,1,,,,,,
Trae Young,2,,,,,,
Taurean Prince,2,,,,,,
Dewayne Dedmon,1,,,,,,
Vince Carter,1,,,,,,
Miles Plumlee,3,,,,,,
John Collins,1,,,,,,
Alex Poythress,4,,,,,,
Kent Bazemore,2,,,,,,
Alex Len,1,,,,,,
DeAndre' Bembry,2,,,,,,
Jayson Tatum,2,,,,,,
Jaylen Brown,2,,,,,,
Brad Wanamaker,1,,,,,,
Kyrie Irving,2,,,,,,
Terry Rozier,2,,,,,,
Marcus Morris Sr.,1,,,,,,
Gordon Hayward,2,,,,,,
Daniel Theis,1,,,,,,
RJ Hunter,5,,,,,,
Guerschon Yabusele,6,,,,,,
Marcus Smart,1,,,,,,
Semi Ojeleye,1,,,,,,
Al Horford,1,,,,,,
Robert Williams III,6,,,,,,
Aron Baynes,1,,,,,,
PJ Dozier,3,,,,,,
Rodions Kurucs,2,,,,,,
D'Angelo Russell,7,,,,,,
Jared Dudley,1,,,,,,
Spencer Dinwiddie,7,,,,,,
DeMarre Carroll,2,,,,,,
Theo Pinson,6,,,,,,
Joe Harris,2,,,,,,
Shabazz Napier,2,,,,,,
Alan Williams,5,,,,,,
Ed Davis,6,,,,,,
Treveon Graham,1,,,,,,
Caris LeVert,2,,,,,,
Rondae Hollis-Jefferson,6,,,,,,
Dzanan Musa,6,,,,,,
Jarrett Allen,4,,,,,,
Allen Crabbe,1,,,,,,
Miles Bridges,1,,,,,,
Malik Monk,2,,,,,,
Marvin Williams,1,,,,,,
Jeremy Lamb,2,,,,,,
Devonte' Graham,2,,,,,,
Nicolas Batum,2,,,,,,
Shelvin Mack,2,,,,,,
Dwayne Bacon,2,,,,,,
Bismack Biyombo,6,,,,,,
Tony Parker,7,,,,,,
Michael Kidd-Gilchrist,6,,,,,,
Kemba Walker,2,,,,,,
Joe Chealey,8,,,,,,
Cody Zeller,6,,,,,,
Willy Her0gomez,4,,,,,,
Frank Kaminsky,1,,,,,,
J.P. Macura,5,,,,,,
Shaquille Harrison,2,,,,,,
Cristiano Felicio,4,,,,,,
Timothe Luwawu-Cabarrot,1,,,,,,
Zach LaVine,2,,,,,,
Antonio Blakeney,1,,,,,,
Wayne Selden,1,,,,,,
Chandler Hutchison,1,,,,,,
Rawle Alkins,4,,,,,,
Otto Porter Jr.,2,,,,,,
Lauri Markkanen,1,,,,,,
Walt Lemon Jr.,4,,,,,,
Kris Dunn,2,,,,,,
Wendell Carter Jr.,6,,,,,,
Robin Lopez,6,,,,,,
Brandon Sampson,4,,,,,,
Ryan Arcidiacono,2,,,,,,
Kevin Love,6,,,,,,
Nik Stauskas,1,,,,,,
Collin Sexton,1,,,,,,
Marquese Chriss,1,,,,,,
Jaron Blossomgame,1,,,,,,
JR Smith,6,,,,,,
Jordan Clarkson,2,,,,,,
Channing Frye,8,,,,,,
David Nwaba,2,,,,,,
Tristan Thompson,6,,,,,,
Cedi Osman,1,,,,,,
Matthew Dellavedova,2,,,,,,
Brandon Knight,2,,,,,,
Larry 0ce Jr.,1,,,,,,
John Henson,6,,,,,,
Deng Adel,3,,,,,,
Ante Zizic,6,,,,,,
Courtney Lee,1,,,,,,
Daryl Macon,4,,,,,,
J.J. Barea,7,,,,,,
Dwight Powell,1,,,,,,
Dorian Finney-Smith,1,,,,,,
Tim Hardaway Jr.,2,,,,,,
Jalen Brunson,2,,,,,,
Trey Burke,2,,,,,,
Devin Harris,2,,,,,,
Kostas Antetokounmpo,9,,,,,,
Dirk Nowitzki,1,,,,,,
Maxi Kleber,1,,,,,,
Justin Jackson,1,,,,,,
Ryan Broekhoff,1,,,,,,
Salah Mejri,3,,,,,,
Luka Doncic,7,,,,,,
Isaiah Thomas,6,,,,,,
Torrey Craig,1,,,,,,
Paul Millsap,2,,,,,,
Will Barton,2,,,,,,
Brandon Goodwin,4,,,,,,
Trey Lyles,2,,,,,,
Jarred Vanderbilt,5,,,,,,
Monte Morris,2,,,,,,
Gary Harris,2,,,,,,
Nikola Jokic,1,,,,,,
Tyler Lydon,4,,,,,,
Mason Plumlee,6,,,,,,
Malik Beasley,1,,,,,,
Jamal Murray,2,,,,,,
Juancho Her0gomez,1,,,,,,
Thomas Welsh,5,,,,,,
Andre Drummond,6,,,,,,
Reggie Jackson,2,,,,,,
Luke Kennard,2,,,,,,
Bruce Brown,1,,,,,,
Thon Maker,1,,,,,,
Langston Galloway,1,,,,,,
Khyri Thomas,1,,,,,,
Ish Smith,2,,,,,,
Svi Mykhailiuk,1,,,,,,
Wayne Ellington,2,,,,,,
Glenn Robinson III,1,,,,,,
Blake Griffin,2,,,,,,
Kalin Lucas,5,,,,,,
Zaza Pachulia,6,,,,,,
Jon Leuer,3,,,,,,
Jose Calderon,2,,,,,,
DeMarcus Cousins,1,,,,,,
Damion Lee,1,,,,,,
Jordan Bell,6,,,,,,
Quinn Cook,1,,,,,,
Kevon Looney,6,,,,,,
Andre Iguodala,1,,,,,,
Jacob Evans,3,,,,,,
Klay Thompson,2,,,,,,
Andrew Bogut,6,,,,,,
Damian Jones,3,,,,,,
Jonas Jerebko,1,,,,,,
Draymond Green,1,,,,,,
Alfonzo McKinnie,1,,,,,,
Stephen Curry,2,,,,,,
Marcus Derrickson,6,,,,,,
Shaun Livingston,6,,,,,,
Kevin Durant,2,,,,,,
Trevon Duval,3,,,,,,
Iman Shumpert,1,,,,,,
Chris Chiozza,8,,,,,,
Chris Paul,7,,,,,,
Danuel House Jr.,2,,,,,,
Gary Clark,1,,,,,,
Eric Gordon,2,,,,,,
Vincent Edwards,3,,,,,,
James Harden,10,,,,,,
Gerald Green,1,,,,,,
Clint Capela,6,,,,,,
P.J. Tucker,1,,,,,,
Austin Rivers,2,,,,,,
Kenneth Faried,6,,,,,,
Nene,6,,,,,,
Isaiah Hartenstein,6,,,,,,
Darren Collison,2,,,,,,
Aaron Holiday,2,,,,,,
Victor Oladipo,2,,,,,,
Edmond Sumner,3,,,,,,
Cory Joseph,2,,,,,,
Kyle O'Quinn,4,,,,,,
Domantas Sabonis,6,,,,,,
Doug McDermott,1,,,,,,
Thaddeus Young,1,,,,,,
TJ Leaf,6,,,,,,
Wesley Matthews,2,,,,,,
Alize Johnson,3,,,,,,
Davon Reed,3,,,,,,
Myles Turner,1,,,,,,
Bojan Bogdanovic,2,,,,,,
Sindarius Thornwell,6,,,,,,
Shai Gilgeous-Alexander,2,,,,,,
JaMychal Green,1,,,,,,
Montrezl Harrell,6,,,,,,
Danilo Gallinari,1,,,,,,
Tyrone Wallace,6,,,,,,
Jerome Robinson,1,,,,,,
Johnathan Motley,3,,,,,,
Garrett Temple,1,,,,,,
Rodney McGruder,2,,,,,,
Landry Shamet,1,,,,,,
Patrick Beverley,2,,,,,,
Wilson Chandler,2,,,,,,
Lou Williams,2,,,,,,
Angel Delgado,5,,,,,,
Ivica Zubac,6,,,,,,
Kyle Kuzma,2,,,,,,
Kentavious Caldwell-Pope,2,,,,,,
Lonzo Ball,2,,,,,,
Josh Hart,1,,,,,,
Alex Caruso,6,,,,,,
Tyson Chandler,6,,,,,,
Lance Stephenson,2,,,,,,
JaVale McGee,6,,,,,,
Rajon Rondo,7,,,,,,
Jemerrio Jones,6,,,,,,
Brandon Ingram,2,,,,,,
Moritz Wagner,1,,,,,,
Isaac Bonga,6,,,,,,
Johnathan Williams,4,,,,,,
LeBron James,7,,,,,,
Mike Muscala,1,,,,,,
Reggie Bullock,1,,,,,,
Avery Bradley,2,,,,,,
Kyle Anderson,6,,,,,,
Delon Wright,2,,,,,,
Jevon Carter,2,,,,,,
Julian Washburn,6,,,,,,
Bruno Caboclo,1,,,,,,
CJ Miles,1,,,,,,
Justin Holiday,1,,,,,,
Ivan Rabb,4,,,,,,
Mike Conley,2,,,,,,
Yuta Watanabe,4,,,,,,
Jaren Jackson Jr.,2,,,,,,
Jonas Valanciunas,6,,,,,,
Tyler Dorsey,2,,,,,,
Dillon Brooks,4,,,,,,
Chandler Parsons,4,,,,,,
Tyler Zeller,6,,,,,,
Joakim Noah,6,,,,,,
Josh Richardson,2,,,,,,
Yante Maten,5,,,,,,
Dwyane Wade,2,,,,,,
Derrick Jones Jr.,1,,,,,,
Goran Dragic,2,,,,,,
Kelly Olynyk,2,,,,,,
Dion Waiters,2,,,,,,
Bam Adebayo,6,,,,,,
James Johnson,2,,,,,,
Justise Winslow,2,,,,,,
Hassan Whiteside,6,,,,,,
Ryan Anderson,4,,,,,,
Udonis Haslem,6,,,,,,
Duncan Robinson,3,,,,,,
George Hill,2,,,,,,
D.J. Wilson,1,,,,,,
Eric Bledsoe,2,,,,,,
Donte DiVincenzo,1,,,,,,
Brook Lopez,1,,,,,,
Tim Frazier,2,,,,,,
Malcolm Brogdon,2,,,,,,
Pau Gasol,3,,,,,,
Tony Snell,1,,,,,,
Khris Middleton,2,,,,,,
Sterling Brown,2,,,,,,
Pat Connaughton,2,,,,,,
Giannis Antetokounmpo,2,,,,,,
Nikola Mirotic,1,,,,,,
Bonzie Colson,4,,,,,,
Ersan Ilyasova,1,,,,,,
Jeff Teague,7,,,,,,
Tyus Jones,2,,,,,,
Jared Terrell,4,,,,,,
Gorgui Dieng,6,,,,,,
Jerryd Bayless,2,,,,,,
Luol Deng,6,,,,,,
C.J. Williams,4,,,,,,
Cameron Reynolds,4,,,,,,
Josh Okogie,1,,,,,,
Andrew Wiggins,2,,,,,,
Derrick Rose,2,,,,,,
Keita Bates-Diop,1,,,,,,
Karl-Anthony Towns,2,,,,,,
Robert Covington,1,,,,,,
Dario Saric,1,,,,,,
Anthony Tolliver,1,,,,,,
Mitchell Creek,3,,,,,,
Taj Gibson,4,,,,,,
Ian Clark,1,,,,,,
Stanley Johnson,2,,,,,,
Elfrid Payton,2,,,,,,
Jahlil Okafor,4,,,,,,
Dairis Bertans,4,,,,,,
Jrue Holiday,2,,,,,,
Cheick Diallo,6,,,,,,
Frank Jackson,1,,,,,,
Darius Miller,2,,,,,,
Anthony Davis,1,,,,,,
Julius Randle,2,,,,,,
Kenrich Williams,1,,,,,,
Christian Wood,4,,,,,,
Solomon Hill,1,,,,,,
E'Twaun Moore,1,,,,,,
Kadeem Allen,4,,,,,,
Emmanuel Mudiay,2,,,,,,
Luke Kornet,1,,,,,,
Billy Garrett,4,,,,,,
Isaiah Hicks,6,,,,,,
Dennis Smith Jr.,2,,,,,,
DeAndre Jordan,6,,,,,,
Mario Hezonja,2,,,,,,
Frank Ntilikina,2,,,,,,
Henry Ellenson,4,,,,,,
Allonzo Trier,2,,,,,,
Kevin Knox II,1,,,,,,
Damyean Dotson,2,,,,,,
Mitchell Robinson,3,,,,,,
John Jenkins,1,,,,,,
Noah Vonleh,2,,,,,,
Lance Thomas,1,,,,,,
Russell Westbrook,7,,,,,,
Raymond Felton,1,,,,,,
Nerlens Noel,6,,,,,,
Markieff Morris,1,,,,,,
Hamidou Diallo,6,,,,,,
Jawun Evans,6,,,,,,
Jerami Grant,1,,,,,,
Abdel Nader,1,,,,,,
Steven Adams,6,,,,,,
Paul George,2,,,,,,
Donte Grantham,8,,,,,,
Dennis Schroder,2,,,,,,
Terrance Ferguson,1,,,,,,
Deonte Burton,6,,,,,,
Patrick Patterson,1,,,,,,
Aaron Gordon,2,,,,,,
Jonathan Isaac,1,,,,,,
Jarell Martin,1,,,,,,
Troy Caupain,5,,,,,,
Mo Bamba,3,,,,,,
Michael Carter-Williams,1,,,,,,
Nikola Vucevic,1,,,,,,
Evan Fournier,2,,,,,,
Amile Jefferson,3,,,,,,
D.J. Augustin,2,,,,,,
Markelle Fultz,4,,,,,,
Jerian Grant,2,,,,,,
Khem Birch,6,,,,,,
Wes Iwundu,1,,,,,,
Terrence Ross,2,,,,,,
Melvin Frazier Jr.,6,,,,,,
Mike Scott,1,,,,,,
Amir Johnson,6,,,,,,
Haywood Highsmith,4,,,,,,
Zhaire Smith,6,,,,,,
James Ennis III,1,,,,,,
T.J. McConnell,7,,,,,,
Jonathon Simmons,2,,,,,,
JJ Redick,2,,,,,,
Shake Milton,6,,,,,,
Joel Embiid,1,,,,,,
Jimmy Butler,2,,,,,,
Ben Simmons,7,,,,,,
Furkan Korkmaz,1,,,,,,
Tobias Harris,2,,,,,,
Jonah Bolden,1,,,,,,
Boban Marjanovic,6,,,,,,
Greg Monroe,6,,,,,,
Devin Booker,2,,,,,,
Elie Okobo,2,,,,,,
Kelly Oubre Jr.,1,,,,,,
George King,8,,,,,,
Jamal Crawford,2,,,,,,
T.J. Warren,2,,,,,,
De'Anthony Melton,2,,,,,,
Tyler Johnson,2,,,,,,
Josh Jackson,2,,,,,,
Richaun Holmes,6,,,,,,
Deandre Ayton,4,,,,,,
Mikal Bridges,1,,,,,,
Ray Spalding,6,,,,,,
Troy Daniels,1,,,,,,
Jimmer Fredette,4,,,,,,
Dragan Bender,1,,,,,,
Enes Kanter,6,,,,,,
Damian Lillard,7,,,,,,
Evan Turner,7,,,,,,
CJ McCollum,2,,,,,,
Maurice Harkless,1,,,,,,
Rodney Hood,2,,,,,,
Al-Farouq Aminu,1,,,,,,
Gary Trent Jr.,3,,,,,,
Jake Layman,1,,,,,,
Meyers Leonard,1,,,,,,
Skal Labissiere,4,,,,,,
Anfernee Simons,4,,,,,,
Jusuf Nurkic,6,,,,,,
Seth Curry,2,,,,,,
Zach Collins,1,,,,,,
Willie Cauley-Stein,6,,,,,,
Yogi Ferrell,2,,,,,,
De'Aaron Fox,7,,,,,,
Bogdan Bogdanovic,2,,,,,,
BJ Johnson,4,,,,,,
Frank Mason,1,,,,,,
Alec Burks,2,,,,,,
Troy Williams,3,,,,,,
Harry Giles III,6,,,,,,
Buddy Hield,2,,,,,,
Corey Brewer,1,,,,,,
Marvin Bagley III,1,,,,,,
Harrison Barnes,2,,,,,,
Kosta Koufos,6,,,,,,
Caleb Swanigan,6,,,,,,
Nemanja Bjelica,1,,,,,,
Lonnie Walker IV,6,,,,,,
Quincy Pondexter,3,,,,,,
Derrick White,2,,,,,,
Chimezie Metu,6,,,,,,
Patty Mills,1,,,,,,
DeMar DeRozan,7,,,,,,
Bryn Forbes,1,,,,,,
LaMarcus Aldridge,6,,,,,,
Drew Eubanks,3,,,,,,
Marco Belinelli,1,,,,,,
Rudy Gay,1,,,,,,
Jakob Poeltl,6,,,,,,
Donatas Motiejunas,3,,,,,,
Dante Cunningham,1,,,,,,
Davis Bertans,1,,,,,,
Patrick McCaw,4,,,,,,
Kawhi Leonard,2,,,,,,
OG Anunoby,1,,,,,,
Kyle Lowry,2,,,,,,
Jordan Loyd,4,,,,,,
Serge Ibaka,1,,,,,,
Malcolm Miller,4,,,,,,
Danny Green,1,,,,,,
Eric Moreland,8,,,,,,
Jeremy Lin,2,,,,,,
Jodie Meeks,4,,,,,,
Fred VanVleet,2,,,,,,
Norman Powell,2,,,,,,
Chris Boucher,3,,,,,,
Marc Gasol,1,,,,,,
Pascal Siakam,2,,,,,,
Joe Ingles,2,,,,,,
Ricky Rubio,2,,,,,,
Dante Exum,2,,,,,,
Tony Bradley,4,,,,,,
Derrick Favors,1,,,,,,
Thabo Sefolosha,1,,,,,,
Royce O'Neale,1,,,,,,
Grayson Allen,1,,,,,,
Raul Neto,1,,,,,,
Kyle Korver,1,,,,,,
Rudy Gobert,6,,,,,,
Naz Mitrou-Long,4,,,,,,
Georges Niang,1,,,,,,
Ekpe Udoh,6,,,,,,
Tyler Cavanaugh,3,,,,,,
Donovan Mitchell,2,,,,,,
Jae Crowder,1,,,,,,
Trevor Ariza,2,,,,,,
John Wall,7,,,,,,
Bradley Beal,2,,,,,,
Wesley Johnson,1,,,,,,
Bobby Portis,1,,,,,,
Troy Brown Jr.,1,,,,,,
Devin Robinson,6,,,,,,
Sam Dekker,1,,,,,,
Chasson Randle,2,,,,,,
Jabari Parker,2,,,,,,
Thomas Bryant,1,,,,,,
Dwight Howard,3,,,,,,
Ian Mahinmi,6,,,,,,
Tomas Satoransky,2,,,,,,
Jeff Green,2,,,,,,
Jordan McRae,1,,,,,,